ParticipantCode,CourseId,CourseCode,CourseName,LoginCount,ActiveSessionCount,ActiveDaysCount,TotalActiveTime (Mins),FirstActiveDate,LastActiveDate,VideosAvailable,VideosAccessed,VideosCompleted,AverageVideoWatchPercentage (%),VideoCompletionRate (%),TotalVideoWatchTime (Mins),TotalVideoPlayDuration (Secs),PauseCount,RewatchCount,LessonsAvailable,LessonsEngaged,LessonsCompleted,LessonCompletionRate (%),CheckpointQuestionsAvailable,CheckpointQuestionsAttempted,CheckpointQuestionsCorrect,CheckpointQuestionsIncorrect,CheckpointAccuracy (%),AvgCheckpointResponseTime (Secs),QuizzesAvailable,QuizAttempts,UniqueQuizzesAttempted,QuizzesCompleted,QuizParticipationRate (%),AverageQuizScore (%),FinalQuizScore (%),PassedQuizzes,FailedQuizzes,CourseXP,PointTransactionCount,BadgeCount,BadgesEarned,LeaderboardPosition,LeaderboardParticipantCount,V - Video Watch Score (%),Q - Quiz Participation Score (%),L - Lesson Completion Score (%),S - System Interaction Score (%),E - Overall Engagement Score (%),AtRiskStatus,RiskReason,DataQualityStatus
"P01","69fae2accda64c2e879bd336","API101","API Test Course","1","1","1","1","2026-08-05T14:55:51.196Z","2026-08-05T15:32:59.504Z","14","12","10","100","71","0","0","0","0","14","12","10","71.43","17","5","3","2","60","10","1","7","2","2","100","28.57","100","2","5","176","3","2","Bronze Medal; First Step","1","14","100","36.84","71.43","66.07","71.94","No (On Track)","N/A","NEEDS_REVIEW"
"P09","69fae2accda64c2e879bd336","API101","API Test Course","0","0","0","0","N/A","N/A","14","0","0","0","0","0","0","0","0","14","0","0","0","17","0","0","0","0","0","1","1","1","1","100","100","100","1","0","100","0","1","Bronze Medal","2","14","0","5.56","0","2.5","1.92","Yes (At-Risk)","Low Composite Engagement Score (<50); Low Video Progress (<40); Low Assessment Participation (<30)","NEEDS_REVIEW"
"P11","69fae2accda64c2e879bd336","API101","API Test Course","0","0","0","0","N/A","N/A","14","0","0","0","0","0","0","0","0","14","0","0","0","17","0","0","0","0","0","1","1","1","1","100","100","100","1","0","100","0","1","Bronze Medal","2","14","0","5.56","0","2.5","1.92","Yes (At-Risk)","Low Composite Engagement Score (<50); Low Video Progress (<40); Low Assessment Participation (<30)","NEEDS_REVIEW"
"P13","69fae2accda64c2e879bd336","API101","API Test Course","1","1","1","0","N/A","N/A","14","2","2","82.5","14","0","0","0","0","14","2","2","14.29","17","0","0","0","0","0","1","1","1","1","100","100","100","1","0","100","0","2","Bronze Medal; First Step","2","14","82.5","5.56","14.29","13.57","38.88","Yes (At-Risk)","Low Composite Engagement Score (<50); Low Assessment Participation (<30)","NEEDS_REVIEW"
"P06","69fae2accda64c2e879bd336","API101","API Test Course","1","1","1","1","2026-08-05T01:02:37.392Z","2026-08-05T04:21:44.660Z","14","11","10","86.36","71","0","0","0","0","14","11","10","71.43","17","5","3","2","60","15","1","10","4","0","100","3.33","33.33333333333333","0","10","76","3","2","Bronze Medal; First Step","5","14","86.36","42.86","71.43","71.07","68.8","No (On Track)","N/A","NEEDS_REVIEW"
"P07","69fae2accda64c2e879bd336","API101","API Test Course","1","1","1","0","N/A","N/A","14","7","6","100","43","0","0","0","0","14","7","6","42.86","17","2","2","0","100","13","1","1","1","0","100","50","50","0","1","71","0","2","Bronze Medal; First Step","6","14","100","16.67","42.86","31.07","56.68","Yes (At-Risk)","Low Assessment Participation (<30)","NEEDS_REVIEW"
"P02","69fae2accda64c2e879bd336","API101","API Test Course","2","1","1","1","2026-08-27T02:57:14.729Z","2026-08-27T03:32:26.705Z","14","6","6","100","43","0","16","4","0","14","6","6","42.86","17","3","2","1","66.67","12","1","8","4","2","100","25","100","2","6","57","7","2","Bronze Medal; First Step","7","14","100","33.33","42.86","68.57","65.43","No (On Track)","N/A","NEEDS_REVIEW"
"P03","69fae2accda64c2e879bd336","API101","API Test Course","0","0","0","0","N/A","N/A","14","0","0","0","0","0","0","0","0","14","0","0","0","17","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","None","8","14","0","0","0","0","0","Yes (At-Risk)","Low Composite Engagement Score (<50); Low Video Progress (<40); Low Assessment Participation (<30)","NEEDS_REVIEW"
"P04","69fae2accda64c2e879bd336","API101","API Test Course","0","0","0","0","N/A","N/A","14","0","0","0","0","0","0","0","0","14","0","0","0","17","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","None","8","14","0","0","0","0","0","Yes (At-Risk)","Low Composite Engagement Score (<50); Low Video Progress (<40); Low Assessment Participation (<30)","NEEDS_REVIEW"
"P05","69fae2accda64c2e879bd336","API101","API Test Course","0","0","0","0","N/A","N/A","14","0","0","0","0","0","0","0","0","14","0","0","0","17","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","None","8","14","0","0","0","0","0","Yes (At-Risk)","Low Composite Engagement Score (<50); Low Video Progress (<40); Low Assessment Participation (<30)","NEEDS_REVIEW"
"P08","69fae2accda64c2e879bd336","API101","API Test Course","0","0","0","0","N/A","N/A","14","0","0","0","0","0","0","0","0","14","0","0","0","17","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","None","8","14","0","0","0","0","0","Yes (At-Risk)","Low Composite Engagement Score (<50); Low Video Progress (<40); Low Assessment Participation (<30)","NEEDS_REVIEW"
"P10","69fae2accda64c2e879bd336","API101","API Test Course","0","0","0","0","N/A","N/A","14","0","0","0","0","0","0","0","0","14","0","0","0","17","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","None","8","14","0","0","0","0","0","Yes (At-Risk)","Low Composite Engagement Score (<50); Low Video Progress (<40); Low Assessment Participation (<30)","NEEDS_REVIEW"
"P12","69fae2accda64c2e879bd336","API101","API Test Course","0","0","0","0","N/A","N/A","14","0","0","0","0","0","0","0","0","14","0","0","0","17","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","None","8","14","0","0","0","0","0","Yes (At-Risk)","Low Composite Engagement Score (<50); Low Video Progress (<40); Low Assessment Participation (<30)","NEEDS_REVIEW"
"P14","69fae2accda64c2e879bd336","API101","API Test Course","0","0","0","0","N/A","N/A","14","0","0","0","0","0","0","0","0","14","0","0","0","17","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","None","8","14","0","0","0","0","0","Yes (At-Risk)","Low Composite Engagement Score (<50); Low Video Progress (<40); Low Assessment Participation (<30)","NEEDS_REVIEW"
